Títulos;Activo;Precio;Cantidad
3,7476;Pictet-China Index P EUR;133,42;500,00
2,742293;GVC Gaesco Zebra US Small Caps;94,81;260,00
12,060771;GVC Gaesco Global Equity DS A ;16,58;200,00
10,050011;GVC Gaesco Small Caps A FI;15,92;160,00
0,541869;GVC Gaesco Emergentfond FI;258,37;140,00
7,800685;GVC Gaesco 300 Places Worldwide CONJUNTA;15,38;120,00
8,604388;GVC Gaesco Japón A FI CONJUNTA;13,95;120,00
6,5005558;GVC Gaesco 300 Places Worldwide;15,38;100,00
7,170324;GVC Gaesco Japón A FI;13,95;100,00
238,645146;GVC Gaesco Global Equity DS A ;16,76;4.000,00
15,855696;GVC Gaesco 300 Places Worldwide;15,64;247,92
3,5737;Pictet-China Index P EUR;139,91;500,00
7,892;Fidelity MSCI World Index Fund;12,67;100,00
0,7214;Pictet-China Index P EUR;138,61;99,99
6,8944;Fidelity S&P 500 Index Fund EUR;14,50;100,00
2,608;GVC Gaesco Zebra US Small Caps;99,69;260,00
11,344282;GVC Gaesco Global Equity DS A ;17,63;200,00
9,612242;GVC Gaesco Small Caps A FI;16,65;160,00
7,133514;GVC Gaesco 300 Places Worldwide CONJUNTA;16,82;120,00
8,01815;GVC Gaesco Japón A FI CONJUNTA;14,97;120,00
6,681792;GVC Gaesco Japón A FI;14,97;100,00
5,944596;GVC Gaesco 300 Places Worldwide;16,82;100,00
0,54008;GVC Gaesco Emergentfond FI;259,22;140,00
